age,gender,location,income,education,pre_theatre,post_theatre,pre_ott_subs,post_ott_subs,pre_spend,post_spend,pre_ott_hrs,post_ott_hrs
25-34,Female,Rural,1-2L,PG,3.0,3.0,1,2,339.0,357.0,10.3,15.2
25-34,Female,Other Tier-2/3,<25k,PG,2.0,1.0,3,3,1385.0,1222.0,5.3,12.5
25-34,Female,Other Tier-2/3,>2L,UG,3.0,0.0,1,1,785.0,1100.0,1.4,8.3
18-24,Male,Chennai,25-50k,School,3.0,2.0,2,2,310.0,306.0,10.3,14.9
25-34,Male,Chennai,25-50k,PG,1.0,0.0,0,4,608.0,884.0,1.5,3.0
18-24,Male,Other Tier-2/3,>2L,UG,1.0,0.0,0,0,639.0,690.0,5.7,12.0
25-34,Male,Chennai,25-50k,UG,4.0,0.0,0,1,857.0,788.0,6.2,11.3
45-54,Male,Rural,25-50k,PG,0.0,0.0,3,4,1135.0,1218.0,9.3,9.1
18-24,Male,Coimbatore,50k-1L,School,3.0,1.0,1,2,729.0,382.0,3.8,11.2
18-24,Male,Tirunelveli,<25k,PG,2.0,0.0,1,5,469.0,539.0,3.6,12.5
25-34,Male,Other Tier-2/3,25-50k,Professional,5.0,5.0,0,0,840.0,955.0,6.8,20.7
25-34,Male,Coimbatore,<25k,PG,2.0,0.0,1,3,424.0,588.0,10.5,15.0
35-44,Female,Coimbatore,<25k,UG,4.0,3.0,1,4,331.0,234.0,15.8,19.9
25-34,Female,Salem,1-2L,PG,2.0,0.0,0,2,127.0,187.0,0.2,2.4
35-44,Male,Tiruchirappalli,50k-1L,UG,3.0,2.0,3,4,182.0,252.0,7.7,14.2
35-44,Male,Madurai,25-50k,PG,4.0,3.0,3,4,369.0,551.0,1.9,8.3
25-34,Male,Salem,25-50k,PG,2.0,1.0,0,2,290.0,338.0,10.6,13.8
35-44,Female,Rural,25-50k,PG,5.0,3.0,0,4,708.0,1015.0,2.6,7.8
18-24,Male,Madurai,50k-1L,UG,2.0,0.0,1,3,284.0,231.0,3.6,3.1
18-24,Male,Chennai,1-2L,School,4.0,3.0,0,1,50.0,68.0,4.0,12.8
18-24,Male,Coimbatore,1-2L,UG,5.0,3.0,0,1,328.0,324.0,6.1,9.4
35-44,Male,Coimbatore,25-50k,UG,4.0,2.0,1,3,488.0,374.0,7.7,13.4
25-34,Male,Chennai,25-50k,UG,6.0,5.0,3,6,450.0,405.0,8.4,9.6
18-24,Female,Chennai,25-50k,UG,2.0,0.0,1,2,1045.0,1235.0,6.4,10.3
25-34,Female,Tirunelveli,50k-1L,UG,1.0,0.0,1,4,448.0,436.0,0.9,5.8
18-24,Female,Coimbatore,25-50k,PG,2.0,0.0,0,1,867.0,1105.0,9.4,15.2
35-44,Female,Rural,50k-1L,Professional,4.0,3.0,1,3,615.0,448.0,6.2,13.5
25-34,Female,Chennai,50k-1L,UG,4.0,3.0,2,3,608.0,394.0,11.2,21.6
25-34,Male,Chennai,25-50k,PG,3.0,1.0,1,1,386.0,588.0,3.5,11.6
25-34,Female,Other Tier-2/3,25-50k,PG,1.0,0.0,2,4,604.0,849.0,0.0,8.9
35-44,Male,Other Tier-2/3,25-50k,UG,4.0,3.0,0,1,406.0,373.0,6.3,16.7
25-34,Male,Coimbatore,<25k,UG,1.0,0.0,1,5,668.0,788.0,11.7,19.3
18-24,Female,Chennai,<25k,PG,5.0,3.0,3,4,554.0,795.0,7.1,12.8
18-24,Male,Chennai,50k-1L,Professional,8.0,7.0,2,6,356.0,457.0,5.6,14.6
55+,Male,Tiruchirappalli,25-50k,PG,4.0,3.0,0,2,898.0,1093.0,2.8,12.0
45-54,Female,Madurai,<25k,Professional,4.0,2.0,0,2,740.0,1076.0,13.6,21.5
35-44,Female,Chennai,50k-1L,Doctoral,2.0,0.0,1,2,495.0,494.0,2.2,3.3
18-24,Female,Chennai,50k-1L,UG,0.0,0.0,1,2,661.0,785.0,3.4,6.5
55+,Male,Madurai,25-50k,UG,2.0,2.0,0,3,597.0,702.0,8.7,13.6
35-44,Male,Rural,1-2L,UG,1.0,1.0,0,5,377.0,419.0,0.0,8.3
35-44,Female,Salem,1-2L,Doctoral,1.0,1.0,0,2,640.0,693.0,11.6,17.3
25-34,Male,Madurai,50k-1L,School,6.0,6.0,2,3,446.0,534.0,9.0,18.4
18-24,Female,Chennai,50k-1L,UG,4.0,3.0,1,4,355.0,422.0,10.1,20.1
18-24,Male,Chennai,<25k,PG,4.0,4.0,0,2,166.0,152.0,8.7,18.3
45-54,Male,Coimbatore,>2L,UG,3.0,2.0,0,2,520.0,718.0,5.7,15.4
25-34,Male,Other Tier-2/3,25-50k,PG,3.0,2.0,3,5,779.0,729.0,2.0,4.5
18-24,Female,Other Tier-2/3,1-2L,UG,5.0,4.0,0,3,425.0,478.0,5.8,13.1
25-34,Male,Rural,50k-1L,Professional,3.0,0.0,1,1,1326.0,1467.0,2.4,6.3
25-34,Male,Rural,<25k,PG,4.0,2.0,2,3,868.0,1102.0,8.4,8.9
18-24,Male,Rural,<25k,UG,3.0,1.0,3,5,985.0,640.0,9.7,14.6
45-54,Male,Rural,50k-1L,PG,3.0,2.0,1,1,843.0,1182.0,12.5,22.5
35-44,Male,Chennai,50k-1L,UG,1.0,0.0,1,1,1139.0,1151.0,7.9,15.2
35-44,Female,Chennai,<25k,UG,0.0,0.0,2,3,400.0,594.0,10.2,22.5
25-34,Male,Coimbatore,50k-1L,PG,3.0,1.0,1,2,50.0,53.0,5.2,11.6
35-44,Female,Tiruchirappalli,1-2L,PG,3.0,2.0,0,2,495.0,578.0,4.4,18.0
25-34,Female,Chennai,25-50k,School,1.0,0.0,0,2,776.0,1287.0,8.3,14.7
35-44,Male,Other Tier-2/3,25-50k,UG,3.0,3.0,0,3,662.0,735.0,4.8,10.7
18-24,Male,Salem,<25k,PG,3.0,1.0,1,4,697.0,1038.0,7.5,9.2
25-34,Female,Tiruchirappalli,50k-1L,UG,0.0,0.0,0,1,990.0,1178.0,2.0,11.4
18-24,Male,Chennai,25-50k,UG,2.0,1.0,1,1,727.0,933.0,2.8,7.0
25-34,Male,Chennai,1-2L,School,4.0,1.0,1,3,844.0,1011.0,9.0,12.7
25-34,Female,Chennai,25-50k,UG,4.0,3.0,0,0,357.0,497.0,10.0,19.9
18-24,Other,Other Tier-2/3,50k-1L,PG,1.0,0.0,1,2,313.0,316.0,2.4,11.9
18-24,Female,Tiruchirappalli,25-50k,School,3.0,1.0,0,1,1072.0,1001.0,9.1,18.5
25-34,Male,Other Tier-2/3,<25k,UG,5.0,4.0,5,6,648.0,661.0,4.2,8.8
18-24,Female,Coimbatore,50k-1L,Professional,4.0,3.0,2,3,445.0,536.0,6.5,12.1
45-54,Female,Coimbatore,25-50k,School,3.0,1.0,0,0,446.0,502.0,12.2,17.8
25-34,Male,Madurai,50k-1L,PG,2.0,0.0,0,1,438.0,595.0,9.7,18.0
25-34,Female,Other Tier-2/3,>2L,UG,2.0,0.0,3,3,421.0,634.0,9.7,20.5
25-34,Male,Other Tier-2/3,>2L,PG,4.0,2.0,0,2,261.0,244.0,14.2,21.2
18-24,Male,Chennai,1-2L,PG,3.0,1.0,1,3,200.0,199.0,3.5,15.6
55+,Male,Rural,<25k,PG,4.0,3.0,5,6,565.0,464.0,2.4,11.1
25-34,Male,Chennai,50k-1L,UG,3.0,1.0,0,1,454.0,766.0,3.4,8.4
35-44,Male,Other Tier-2/3,1-2L,UG,4.0,3.0,0,4,930.0,1168.0,5.4,13.9
18-24,Female,Chennai,25-50k,PG,3.0,0.0,1,2,702.0,913.0,0.0,11.3
25-34,Female,Coimbatore,<25k,UG,4.0,0.0,0,0,694.0,586.0,5.5,17.7
25-34,Female,Other Tier-2/3,1-2L,UG,4.0,3.0,1,1,412.0,486.0,4.2,13.8
45-54,Female,Chennai,25-50k,School,2.0,3.0,3,4,586.0,766.0,9.6,15.5
25-34,Other,Madurai,50k-1L,Professional,0.0,0.0,0,0,721.0,805.0,7.8,12.9
25-34,Male,Madurai,>2L,PG,6.0,3.0,1,4,821.0,1190.0,3.9,11.5
18-24,Male,Chennai,50k-1L,UG,4.0,2.0,1,2,594.0,1044.0,8.8,20.0
25-34,Male,Tirunelveli,25-50k,PG,0.0,0.0,0,1,922.0,870.0,9.4,16.6
25-34,Male,Other Tier-2/3,25-50k,UG,2.0,0.0,2,2,622.0,575.0,3.2,10.5
25-34,Female,Other Tier-2/3,25-50k,UG,4.0,2.0,1,2,842.0,809.0,4.4,10.4
18-24,Male,Coimbatore,<25k,UG,3.0,0.0,1,1,483.0,764.0,0.0,4.8
45-54,Male,Tiruchirappalli,50k-1L,PG,2.0,0.0,0,1,112.0,161.0,1.9,7.2
45-54,Male,Chennai,1-2L,UG,5.0,2.0,0,2,695.0,797.0,3.4,9.6
18-24,Male,Chennai,25-50k,PG,1.0,0.0,0,1,823.0,979.0,6.7,18.0
25-34,Female,Chennai,25-50k,PG,2.0,0.0,0,1,781.0,762.0,2.5,7.5
18-24,Male,Rural,1-2L,UG,3.0,2.0,1,2,738.0,1035.0,4.3,10.3
35-44,Male,Other Tier-2/3,<25k,UG,4.0,3.0,0,5,522.0,566.0,1.4,4.4
25-34,Male,Other Tier-2/3,25-50k,School,4.0,1.0,1,3,394.0,439.0,7.1,15.2
35-44,Male,Tiruchirappalli,25-50k,Professional,5.0,3.0,2,4,774.0,1031.0,8.1,18.3
35-44,Female,Madurai,50k-1L,PG,3.0,1.0,1,2,739.0,837.0,8.0,19.0
35-44,Male,Tiruchirappalli,<25k,Professional,4.0,2.0,0,3,463.0,519.0,6.5,13.0
18-24,Male,Tiruchirappalli,50k-1L,UG,3.0,2.0,3,4,931.0,1101.0,0.1,7.7
45-54,Male,Madurai,25-50k,School,3.0,1.0,1,3,373.0,514.0,3.9,9.2
18-24,Female,Chennai,50k-1L,UG,3.0,0.0,0,1,457.0,727.0,4.7,12.2
18-24,Female,Chennai,<25k,School,3.0,1.0,0,3,1078.0,1430.0,4.7,11.5
25-34,Female,Rural,25-50k,School,4.0,4.0,1,4,863.0,1192.0,6.7,12.7
25-34,Female,Madurai,25-50k,School,4.0,3.0,3,5,520.0,588.0,12.2,18.4
45-54,Female,Rural,<25k,Doctoral,3.0,0.0,1,4,700.0,702.0,9.7,16.9
35-44,Male,Chennai,<25k,School,2.0,1.0,0,1,663.0,891.0,2.4,7.3
25-34,Male,Tiruchirappalli,<25k,School,3.0,3.0,1,3,50.0,61.0,9.2,14.2
55+,Male,Chennai,25-50k,PG,3.0,0.0,0,1,366.0,302.0,9.0,20.3
25-34,Male,Chennai,<25k,UG,3.0,1.0,0,2,606.0,665.0,3.1,17.6
25-34,Female,Chennai,>2L,PG,7.0,5.0,0,0,520.0,603.0,9.9,11.8
18-24,Male,Chennai,25-50k,UG,2.0,1.0,0,0,689.0,725.0,5.7,7.5
45-54,Female,Rural,1-2L,PG,4.0,1.0,0,2,936.0,1451.0,0.6,3.3
18-24,Female,Coimbatore,>2L,UG,5.0,4.0,1,1,530.0,689.0,8.3,13.8
18-24,Male,Salem,<25k,UG,3.0,0.0,2,3,324.0,494.0,7.3,16.0
25-34,Female,Madurai,50k-1L,PG,7.0,5.0,2,4,711.0,886.0,5.5,13.2
55+,Female,Madurai,1-2L,UG,2.0,0.0,0,3,529.0,635.0,6.2,12.6
45-54,Female,Tiruchirappalli,50k-1L,UG,4.0,2.0,0,0,576.0,545.0,3.5,11.0
35-44,Male,Chennai,25-50k,UG,2.0,1.0,0,0,538.0,636.0,8.9,12.5
45-54,Male,Rural,25-50k,School,3.0,0.0,3,3,1248.0,1477.0,6.2,11.2
45-54,Male,Other Tier-2/3,<25k,PG,3.0,2.0,2,4,50.0,50.0,7.1,12.8
25-34,Male,Other Tier-2/3,50k-1L,UG,4.0,4.0,1,2,511.0,534.0,7.9,8.6
25-34,Male,Madurai,>2L,School,4.0,2.0,0,4,619.0,680.0,1.7,3.8
35-44,Female,Chennai,>2L,UG,5.0,3.0,2,4,401.0,515.0,2.7,4.9
35-44,Female,Rural,<25k,PG,3.0,1.0,1,2,872.0,1130.0,0.0,8.2
25-34,Male,Coimbatore,50k-1L,UG,3.0,1.0,0,4,848.0,877.0,8.7,15.3
18-24,Male,Chennai,25-50k,PG,7.0,6.0,0,4,607.0,787.0,1.4,9.2
35-44,Male,Coimbatore,1-2L,PG,4.0,2.0,2,4,544.0,617.0,6.9,6.8
18-24,Male,Other Tier-2/3,<25k,School,2.0,0.0,0,4,589.0,272.0,7.9,9.0
45-54,Female,Salem,1-2L,PG,2.0,1.0,0,1,591.0,626.0,8.9,16.8
18-24,Male,Other Tier-2/3,1-2L,UG,2.0,1.0,0,3,598.0,867.0,1.5,0.0
18-24,Male,Other Tier-2/3,<25k,UG,5.0,1.0,2,5,567.0,431.0,6.1,15.8
45-54,Female,Chennai,<25k,PG,3.0,3.0,1,2,691.0,835.0,13.2,13.2
18-24,Male,Rural,1-2L,PG,3.0,1.0,0,4,831.0,1310.0,13.4,21.9
18-24,Male,Madurai,<25k,UG,3.0,3.0,0,1,276.0,273.0,10.4,13.4
25-34,Female,Salem,50k-1L,UG,4.0,3.0,6,7,326.0,385.0,7.8,17.0
45-54,Female,Chennai,1-2L,UG,2.0,1.0,0,1,130.0,111.0,2.3,18.4
18-24,Female,Rural,50k-1L,UG,1.0,1.0,0,2,863.0,1369.0,9.3,7.8
25-34,Female,Coimbatore,25-50k,UG,3.0,1.0,0,1,690.0,800.0,5.8,13.8
35-44,Male,Chennai,25-50k,UG,4.0,3.0,0,2,761.0,907.0,8.7,8.7
55+,Female,Madurai,<25k,UG,4.0,4.0,1,1,220.0,334.0,3.8,11.0
25-34,Female,Chennai,>2L,School,2.0,0.0,2,3,1120.0,1507.0,5.7,10.8
18-24,Female,Chennai,25-50k,PG,4.0,1.0,1,2,450.0,432.0,7.1,13.3
18-24,Female,Salem,<25k,PG,2.0,0.0,0,1,667.0,679.0,7.4,10.3
18-24,Female,Coimbatore,25-50k,PG,2.0,0.0,0,3,859.0,1120.0,8.4,16.7
18-24,Female,Rural,>2L,School,2.0,0.0,0,0,344.0,352.0,4.0,5.2
35-44,Male,Coimbatore,<25k,UG,5.0,2.0,0,2,467.0,304.0,0.9,10.7
18-24,Female,Tirunelveli,1-2L,UG,4.0,1.0,3,7,670.0,782.0,13.1,17.6
25-34,Male,Madurai,50k-1L,School,4.0,1.0,2,7,1420.0,1150.0,16.6,17.9
35-44,Female,Salem,1-2L,UG,5.0,4.0,1,1,704.0,1115.0,8.2,19.1
25-34,Female,Tiruchirappalli,>2L,UG,8.0,6.0,1,5,1070.0,1310.0,1.0,6.6
18-24,Female,Madurai,1-2L,PG,0.0,0.0,1,1,958.0,914.0,3.2,15.1
35-44,Female,Rural,>2L,UG,2.0,2.0,0,0,723.0,727.0,8.5,18.2
35-44,Male,Coimbatore,<25k,PG,2.0,0.0,0,1,343.0,243.0,11.9,15.1
35-44,Female,Chennai,50k-1L,UG,2.0,0.0,1,4,917.0,830.0,1.4,6.9
18-24,Female,Tirunelveli,50k-1L,PG,1.0,0.0,1,2,201.0,288.0,5.9,12.1
18-24,Male,Other Tier-2/3,50k-1L,UG,3.0,0.0,3,4,1068.0,1856.0,7.2,17.9
45-54,Male,Chennai,1-2L,UG,1.0,0.0,0,0,676.0,920.0,9.9,17.1
25-34,Male,Madurai,>2L,UG,4.0,2.0,1,2,50.0,58.0,5.0,11.4
25-34,Female,Other Tier-2/3,50k-1L,Professional,3.0,1.0,3,3,525.0,563.0,0.0,5.2
25-34,Male,Other Tier-2/3,25-50k,UG,4.0,3.0,1,4,803.0,756.0,8.9,14.5
35-44,Female,Rural,25-50k,UG,4.0,3.0,1,1,554.0,939.0,11.0,21.0
55+,Male,Tiruchirappalli,25-50k,UG,4.0,1.0,1,2,820.0,929.0,6.1,11.9
25-34,Female,Salem,25-50k,PG,3.0,0.0,0,2,382.0,653.0,8.1,12.6
45-54,Male,Coimbatore,25-50k,School,6.0,5.0,1,1,254.0,388.0,4.5,8.5
18-24,Female,Rural,<25k,UG,3.0,0.0,0,1,600.0,447.0,2.9,6.9
25-34,Male,Coimbatore,<25k,UG,0.0,0.0,1,2,629.0,637.0,10.6,11.9
35-44,Female,Other Tier-2/3,50k-1L,Professional,1.0,0.0,1,3,522.0,529.0,8.0,11.4
18-24,Female,Madurai,25-50k,UG,0.0,0.0,0,0,964.0,1118.0,8.4,19.0
18-24,Female,Tiruchirappalli,1-2L,UG,3.0,0.0,0,1,382.0,445.0,12.6,17.7
25-34,Female,Tirunelveli,50k-1L,Professional,3.0,1.0,2,4,708.0,1366.0,2.1,10.2
55+,Male,Madurai,<25k,UG,2.0,0.0,3,3,639.0,582.0,4.1,2.0
25-34,Male,Rural,<25k,UG,6.0,4.0,2,3,184.0,228.0,7.0,14.6
45-54,Male,Madurai,<25k,UG,4.0,2.0,1,2,251.0,335.0,4.1,9.4
35-44,Male,Salem,>2L,School,4.0,3.0,0,2,623.0,735.0,9.6,13.9
25-34,Female,Coimbatore,<25k,School,2.0,0.0,1,1,1175.0,1419.0,5.6,12.0
35-44,Female,Madurai,25-50k,UG,2.0,0.0,0,2,782.0,718.0,2.3,6.5
18-24,Female,Madurai,1-2L,PG,3.0,1.0,0,4,137.0,165.0,6.7,5.7
18-24,Female,Chennai,>2L,PG,3.0,3.0,0,2,50.0,65.0,7.1,15.9
45-54,Female,Chennai,25-50k,School,0.0,0.0,2,2,825.0,1041.0,10.2,16.8
35-44,Female,Salem,<25k,UG,3.0,0.0,0,1,593.0,784.0,8.0,12.8
18-24,Male,Salem,<25k,School,3.0,1.0,1,2,940.0,1441.0,8.3,11.0
25-34,Male,Salem,<25k,Professional,3.0,3.0,2,3,373.0,528.0,7.7,8.8
25-34,Female,Chennai,<25k,School,2.0,0.0,3,4,718.0,860.0,5.6,12.1
45-54,Female,Coimbatore,50k-1L,UG,2.0,1.0,1,1,857.0,760.0,3.5,14.5
25-34,Male,Chennai,1-2L,UG,3.0,0.0,1,3,495.0,510.0,7.6,14.1
25-34,Male,Other Tier-2/3,50k-1L,PG,3.0,1.0,0,4,501.0,564.0,5.0,6.4
25-34,Female,Other Tier-2/3,50k-1L,UG,4.0,2.0,2,4,627.0,779.0,13.3,19.8
25-34,Male,Chennai,<25k,PG,5.0,2.0,0,6,772.0,819.0,11.9,17.5
35-44,Male,Salem,1-2L,UG,3.0,2.0,0,0,616.0,583.0,9.0,17.6
45-54,Female,Chennai,50k-1L,PG,2.0,1.0,1,3,893.0,788.0,8.0,15.7
25-34,Female,Coimbatore,1-2L,UG,4.0,3.0,3,4,491.0,377.0,6.0,2.2
18-24,Male,Chennai,>2L,PG,4.0,2.0,0,2,248.0,278.0,1.2,8.7
18-24,Female,Coimbatore,25-50k,PG,2.0,2.0,0,1,1174.0,954.0,5.5,8.1
35-44,Male,Tirunelveli,<25k,Doctoral,4.0,4.0,1,4,451.0,419.0,6.8,8.1
35-44,Female,Rural,25-50k,UG,5.0,3.0,0,0,461.0,499.0,7.3,12.5
18-24,Male,Chennai,25-50k,UG,5.0,4.0,0,0,602.0,509.0,8.3,15.4
18-24,Female,Tiruchirappalli,>2L,UG,6.0,5.0,0,0,639.0,815.0,10.2,10.7
25-34,Male,Tirunelveli,25-50k,UG,2.0,2.0,1,4,512.0,699.0,3.6,11.7
18-24,Male,Rural,50k-1L,UG,3.0,2.0,3,6,615.0,641.0,3.6,11.8
45-54,Female,Salem,50k-1L,Doctoral,3.0,1.0,2,5,609.0,652.0,12.3,18.3
25-34,Male,Chennai,<25k,Doctoral,3.0,0.0,1,1,669.0,879.0,9.6,12.6
18-24,Male,Salem,25-50k,UG,2.0,1.0,0,2,50.0,50.0,4.8,7.5
45-54,Male,Coimbatore,50k-1L,UG,1.0,0.0,0,3,1147.0,1129.0,6.0,15.1
18-24,Female,Rural,50k-1L,PG,3.0,2.0,1,2,579.0,856.0,6.0,7.0
25-34,Female,Coimbatore,25-50k,Professional,2.0,1.0,2,6,783.0,1097.0,6.5,15.7
18-24,Other,Tirunelveli,25-50k,UG,3.0,0.0,1,4,234.0,311.0,8.3,13.6
18-24,Male,Chennai,50k-1L,UG,2.0,0.0,1,2,488.0,689.0,16.8,22.3
18-24,Male,Madurai,<25k,PG,1.0,0.0,0,0,432.0,296.0,7.2,7.5
18-24,Male,Other Tier-2/3,1-2L,UG,3.0,2.0,2,5,1032.0,1567.0,9.1,14.4
18-24,Female,Salem,<25k,UG,3.0,0.0,2,3,456.0,583.0,0.0,7.8
18-24,Other,Madurai,<25k,Doctoral,4.0,1.0,0,2,832.0,1192.0,4.4,5.9
25-34,Female,Rural,25-50k,Doctoral,7.0,6.0,0,0,438.0,559.0,11.4,18.8
35-44,Female,Other Tier-2/3,25-50k,PG,4.0,2.0,0,0,493.0,588.0,8.0,14.1
25-34,Male,Coimbatore,25-50k,PG,4.0,2.0,0,2,551.0,612.0,0.0,3.7
25-34,Female,Tiruchirappalli,25-50k,UG,1.0,0.0,1,1,979.0,1245.0,9.2,17.7
25-34,Male,Madurai,>2L,UG,1.0,0.0,1,2,91.0,100.0,14.3,13.1
